id,ts_iso8601,source_file,gap_prev_global_sec,gap_prev_within_file_sec,session_id_within_file,session_key,gap_prev_within_session_sec,session_start_ts_iso8601,session_end_ts_iso8601,session_row_count,session_duration_sec,session_median_gap_sec,session_p90_gap_sec,cadence_family,ruuvi,aplicom,companyid,address,rssi,advdata,lat,lon,geom,temperature,accx,accy,accz,battvoltage,txpower,movcounter,measseqnum,calibrated_accx,calibrated_accy,calibrated_accz
18615183,2025-11-10T01:50:40.220000+0200,flic_button_data_export_20251110.csv,,,1,flic_button_data_export_20251110.csv::1,,2025-11-10T01:50:40.220000+0200,2025-11-10T01:51:00.824000+0200,11,20.604,1.8735,2.7634,slow ~1.88s,,Aplicom A11 001,,80E4DA7EC61B,-60,,60.493152,22.288016,0101000020E610000088B9A46ABB4936407FFACF9A1F3F4E40,,,,,,,,,,,
18615186,2025-11-10T01:50:42.122000+0200,flic_button_data_export_20251110.csv,1.902,1.902,1,flic_button_data_export_20251110.csv::1,1.902,2025-11-10T01:50:40.220000+0200,2025-11-10T01:51:00.824000+0200,11,20.604,1.8735,2.7634,slow ~1.88s,,Aplicom A11 001,,80E4DA7EC61B,-63,,60.493151,22.288017,0101000020E610000029B16B7BBB493640AE7E6C921F3F4E40,,,,,,,,,,,
18615187,2025-11-10T01:50:44.100000+0200,flic_button_data_export_20251110.csv,1.978,1.978,1,flic_button_data_export_20251110.csv::1,1.978,2025-11-10T01:50:40.220000+0200,2025-11-10T01:51:00.824000+0200,11,20.604,1.8735,2.7634,slow ~1.88s,,Aplicom A11 001,,80E4DA7EC61B,-76,,60.49315,22.288017,0101000020E610000029B16B7BBB493640DE02098A1F3F4E40,,,,,,,,,,,
18615189,2025-11-10T01:50:45.963000+0200,flic_button_data_export_20251110.csv,1.863,1.863,1,flic_button_data_export_20251110.csv::1,1.863,2025-11-10T01:50:40.220000+0200,2025-11-10T01:51:00.824000+0200,11,20.604,1.8735,2.7634,slow ~1.88s,,Aplicom A11 001,,80E4DA7EC61B,-55,,60.493148,22.288014,0101000020E610000047CA1649BB4936403D0B42791F3F4E40,,,,,,,,,,,
18615192,2025-11-10T01:50:48.722000+0200,flic_button_data_export_20251110.csv,2.759,2.759,1,flic_button_data_export_20251110.csv::1,2.759,2025-11-10T01:50:40.220000+0200,2025-11-10T01:51:00.824000+0200,11,20.604,1.8735,2.7634,slow ~1.88s,,Aplicom A11 001,,80E4DA7EC61B,-54,,60.493146,22.288012,0101000020E610000005DB8827BB4936409D137B681F3F4E40,,,,,,,,,,,
18615194,2025-11-10T01:50:50.589000+0200,flic_button_data_export_20251110.csv,1.867,1.867,1,flic_button_data_export_20251110.csv::1,1.867,2025-11-10T01:50:40.220000+0200,2025-11-10T01:51:00.824000+0200,11,20.604,1.8735,2.7634,slow ~1.88s,,Aplicom A11 001,,80E4DA7EC61B,-73,,60.493145,22.288011,0101000020E610000065E3C116BB493640CC9717601F3F4E40,,,,,,,,,,,
18615198,2025-11-10T01:50:52.461000+0200,flic_button_data_export_20251110.csv,1.872,1.872,1,flic_button_data_export_20251110.csv::1,1.872,2025-11-10T01:50:40.220000+0200,2025-11-10T01:51:00.824000+0200,11,20.604,1.8735,2.7634,slow ~1.88s,,Aplicom A11 001,,80E4DA7EC61B,-61,,60.493144,22.288011,0101000020E610000065E3C116BB493640FC1BB4571F3F4E40,,,,,,,,,,,
18615200,2025-11-10T01:50:54.336000+0200,flic_button_data_export_20251110.csv,1.875,1.875,1,flic_button_data_export_20251110.csv::1,1.875,2025-11-10T01:50:40.220000+0200,2025-11-10T01:51:00.824000+0200,11,20.604,1.8735,2.7634,slow ~1.88s,,Aplicom A11 001,,80E4DA7EC61B,-64,20106.0,60.493144,22.288011,0101000020E610000065E3C116BB493640FC1BB4571F3F4E40,,,,,,,,,,,
18615201,2025-11-10T01:50:57.139000+0200,flic_button_data_export_20251110.csv,2.803,2.803,1,flic_button_data_export_20251110.csv::1,2.803,2025-11-10T01:50:40.220000+0200,2025-11-10T01:51:00.824000+0200,11,20.604,1.8735,2.7634,slow ~1.88s,,Aplicom A11 001,,80E4DA7EC61B,-64,,60.493143,22.288011,0101000020E610000065E3C116BB4936402CA0504F1F3F4E40,,,,,,,,,,,
18615203,2025-11-10T01:50:58.983000+0200,flic_button_data_export_20251110.csv,1.844,1.844,1,flic_button_data_export_20251110.csv::1,1.844,2025-11-10T01:50:40.220000+0200,2025-11-10T01:51:00.824000+0200,11,20.604,1.8735,2.7634,slow ~1.88s,,Aplicom A11 001,,80E4DA7EC61B,-69,,60.493141,22.288015,0101000020E6100000E8C1DD59BB4936408BA8893E1F3F4E40,,,,,,,,,,,
