event_id,start_ts,end_ts,number_sensors,sensors,peak_mag,lat,lon,duration_s,temperature,is_dark,distance_meter,gap_seconds,speed_kmh,hour
1,2025-11-10 01:54:33.587000+02:00,2025-11-10 01:54:33.587000+02:00,1,['C3999872944C'],844.566943760662,60.4926,22.288664,0.0,6.485,True,,,,1
2,2025-11-10 01:55:43.698000+02:00,2025-11-10 01:55:43.698000+02:00,1,['E78E9C0B06E0'],317.2712586296465,60.491652,22.290451,0.0,6.485,True,143.84,70.111,7.39,1
3,2025-11-10 01:57:27.343000+02:00,2025-11-10 01:57:27.343000+02:00,1,['E78E9C0B06E0'],354.7609198986393,60.497102,22.294654,0.0,6.515,True,648.25,103.645,22.52,1
4,2025-11-10 01:58:57.137000+02:00,2025-11-10 01:58:57.137000+02:00,1,['E78E9C0B06E0'],294.55021419696027,60.498208,22.259913,0.0,6.57,True,1906.35,89.794,76.43,1
5,2025-11-10 02:04:14.754000+02:00,2025-11-10 02:04:14.754000+02:00,1,['E78E9C0B06E0'],419.37197097121634,60.485152,22.167961,0.0,6.67,True,5241.2,317.617,59.41,2
6,2025-11-10 02:07:52.820000+02:00,2025-11-10 02:07:52.820000+02:00,1,['C3999872944C'],726.4323517904336,60.47263,22.149721,0.0,6.775,True,1713.91,218.066,28.29,2
7,2025-11-10 02:38:42.266000+02:00,2025-11-10 02:38:42.266000+02:00,1,['C3999872944C'],688.818705870415,60.451929,22.098042,0.0,6.705,True,3650.24,1849.446,7.11,2
8,2025-11-10 02:48:43.364000+02:00,2025-11-10 02:48:43.364000+02:00,1,['C3999872944C'],573.558937288439,60.451792,22.097827,0.0,6.96,True,19.26,601.098,0.12,2
9,2025-11-10 02:56:28.362000+02:00,2025-11-10 02:56:28.362000+02:00,1,['E78E9C0B06E0'],342.5234626548704,60.45217,22.097063,0.0,7.205,True,59.35,464.998,0.46,2
10,2025-11-10 02:58:44.885000+02:00,2025-11-10 02:58:46.404000+02:00,1,['E198DBE2771E'],218.5271560275111,60.453543,22.099478,1.519,7.39,True,202.1,136.523,5.33,2
11,2025-11-10 02:59:05.265000+02:00,2025-11-10 02:59:05.265000+02:00,1,['C3999872944C'],812.4640572770064,60.454716,22.099578,0.0,7.085,True,130.55,18.861,24.92,2
