event_id,start,end,number_packets,lat,lon,duration_seconds,hour,period,road,town,is_dark
0,2025-11-10 01:50:40.220000+02:00,2025-11-10 01:51:00.824000+02:00,11,60.493152,22.288016,20.604,1,Night (22-06),Telekatu,Turku,True
1,2025-11-10 04:06:25.747000+02:00,2025-11-10 04:07:33.798000+02:00,39,60.383189,23.100664,68.051,4,Night (22-06),Meriniitynkatu,Salon suuralue,True
2,2025-11-10 04:28:52.086000+02:00,2025-11-10 04:29:54.781000+02:00,37,60.204471,23.113718,62.695,4,Night (22-06),Haarlantie,Salo,True
3,2025-11-10 05:40:50.774000+02:00,2025-11-10 05:41:51.767000+02:00,37,60.009589,23.543561,60.993,5,Night (22-06),Ekerövägen,Raseborg,True
4,2025-11-10 09:54:27.850000+02:00,2025-11-10 09:55:29.750000+02:00,30,59.819316,22.95807,61.9,9,Morning (06-12),Town Centre,Hanko,False
5,2025-11-10 18:05:23.268000+02:00,2025-11-10 18:06:25.819000+02:00,29,60.386477,23.159415,62.551,18,Evening (18-22),Otsonkatu,Salon suuralue,True
6,2025-11-27 00:06:20.323000+02:00,2025-11-27 00:09:40.042000+02:00,122,60.234862,23.588156,199.719,0,Night (22-06),Kiskontie,Salo,True
7,2025-11-27 00:11:01.214000+02:00,2025-11-27 00:11:48.726000+02:00,25,60.248152,23.485509,47.512,0,Night (22-06),Kiskontie,Salo,True
8,2025-11-27 13:06:14.171000+02:00,2025-11-27 13:06:51.507000+02:00,20,60.482399,22.165015,37.336,13,Afternoon (12-18),Nesteentie,Raisio,False
9,2025-11-27 13:07:01.973000+02:00,2025-11-27 13:09:33.744000+02:00,68,60.485375,22.168633,151.771,13,Afternoon (12-18),Nesteentie,Raisio,False
10,2025-11-27 14:04:46.649000+02:00,2025-11-27 14:05:42.743000+02:00,28,60.434343,22.977084,56.094,14,Afternoon (12-18),Turku-Helsinki moottoritie,Salo,False
11,2025-11-27 14:57:57.146000+02:00,2025-11-27 15:03:01.697000+02:00,167,60.246788,23.510027,304.551,14,Afternoon (12-18),Kiskontie,Salo,False
12,2025-11-27 15:03:22.571000+02:00,2025-11-27 15:04:20.919000+02:00,35,60.226191,23.617125,58.348,15,Afternoon (12-18),Kiskontie,Salo,False
13,2025-11-27 15:12:15.448000+02:00,2025-11-27 15:13:15.611000+02:00,36,60.18142,23.761897,60.163,15,Afternoon (12-18),Mustiontie,Lohja,False
14,2026-01-09 01:16:43.519000+02:00,2026-01-09 01:17:41.076000+02:00,28,60.463376,22.109561,57.557,1,Night (22-06),Nesteentie,Raisio,True
15,2026-01-09 03:21:16.370000+02:00,2026-01-09 03:21:23.410000+02:00,5,60.421144,22.728092,7.04,3,Night (22-06),Valtatie,Paimio,True
16,2026-01-09 03:41:48.050000+02:00,2026-01-09 03:42:49.096000+02:00,31,60.391843,23.082998,61.046,3,Night (22-06),Meriniityntie,Salo,True
17,2026-01-09 03:44:06.510000+02:00,2026-01-09 03:45:05.971000+02:00,28,60.38424,23.100431,59.461,3,Night (22-06),Joensuunkatu,Salon suuralue,True
18,2026-01-09 16:27:47.921000+02:00,2026-01-09 16:28:48.440000+02:00,30,60.404377,22.820764,60.519,16,Afternoon (12-18),Valtatie,Halikko,False
19,2026-01-09 16:32:15.473000+02:00,2026-01-09 16:33:24.571000+02:00,34,60.421258,22.728743,69.098,16,Afternoon (12-18),Valtatie,Paimio,False
20,2026-01-09 16:33:53.271000+02:00,2026-01-09 16:34:19.129000+02:00,14,60.429051,22.722702,25.858,16,Afternoon (12-18),Iso-Iivarintie,Paimio,False
21,2026-01-09 22:29:17.543000+02:00,2026-01-09 22:30:19.288000+02:00,36,60.323705,22.939734,61.745,22,Night (22-06),Järvenkyläntie,Salo,True
