press_id,date,road,town,is_dark,duration_s,n_motion,n_sensors,mag_max,mag_median,mag_std,temp_c,n_before,n_during,n_after,peak_phase,n_road_rows,grip,surface_state,surface_temperature,ice_layer_thickness,snow_layer_thickness,water_layer_thickness,evidence_score,strength
0,2025-11-09 23:50,Telekatu,Turku,True,20.604,20,3,44.79512922669374,37.151302213888044,6.679259665035538,6.5,0.0,12.0,8.0,during,311,0.5247327089309692,3.0,6.8699951171875,0.0,0.0,1.5480027198791504,7,STRONG
1,2025-11-10 02:06,Meriniitynkatu,Salon suuralue,True,68.051,13,3,2082.9711285337544,170.7301587445585,605.6080015769815,7.955,4.0,6.0,3.0,during,609,0.5922344923019409,3.0,11.329986572265623,0.0,0.0,1.096859574317932,10,STRONG
2,2025-11-10 02:28,Haarlantie,Salo,True,62.695,37,3,634.6085566170926,43.742377689405146,135.20975543928645,7.695,4.0,20.0,13.0,before,598,0.6501930952072144,3.0,9.910003662109377,0.0,0.0,0.6530690491199493,9,STRONG
3,2025-11-10 03:40,Ekerövägen,Raseborg,True,60.993,2,1,225.33870663636262,133.75666772774284,129.51656149435058,7.33,1.0,0.0,1.0,after,595,0.7496274709701538,3.0,13.1099853515625,0.0,0.0,0.1952016055583953,3,WEAK
4,2025-11-10 07:54,Town Centre,Hanko,False,,0,0,,,,,,,,,598,0.8199999928474426,1.0,17.8900146484375,0.0,0.0,0.0,0,WEAK
5,2025-11-10 16:05,Otsonkatu,Salon suuralue,True,62.551,1,1,108.82777168029035,108.82777168029035,,6.845,0.0,0.0,1.0,after,603,0.8199999928474426,1.0,11.410003662109377,0.0,0.0,0.0,2,WEAK
6,2025-11-26 22:06,Kiskontie,Salo,True,199.719,8,1,324.5890150429661,212.15058299700584,93.28771838086267,322.5025,2.0,6.0,0.0,during,0,,,,,,,6,MODERATE
7,2025-11-26 22:11,Kiskontie,Salo,True,47.512,4,1,352.73328546839804,206.70081812880053,138.71834622621122,322.26,0.0,2.0,2.0,after,0,,,,,,,3,WEAK
8,2025-11-27 11:06,Nesteentie,Raisio,False,37.336,2,2,60.73913870039721,55.48670265644867,7.4280662888493145,3.505,1.0,1.0,0.0,during,543,0.8197813034057617,1.0,9.80999755859375,0.0,0.0,0.013786144554615,4,MODERATE
9,2025-11-27 11:07,Nesteentie,Raisio,False,151.771,6,2,337.5220981372892,167.9315555239083,97.89523175886983,3.5275,1.0,4.0,1.0,during,773,0.8199999928474426,1.0,10.269989013671877,0.0,0.0,0.0,7,STRONG
10,2025-11-27 12:04,Turku-Helsinki moottoritie,Salo,False,56.094,3,2,209.17948307127816,201.0410020734771,32.26567066562042,3.045,3.0,0.0,0.0,before,0,,,,,,,5,MODERATE
11,2025-11-27 12:57,Kiskontie,Salo,False,,0,0,,,,,,,,,1073,0.6052728295326233,3.0,9.80999755859375,0.0,0.0,1.0026707649230957,1,WEAK
12,2025-11-27 13:03,Kiskontie,Salo,False,58.348,1,1,109.91263930205204,109.91263930205204,,2.085,0.0,0.0,1.0,after,590,0.5423306822776794,3.0,9.6300048828125,0.0,0.0,1.4348543286323547,3,WEAK
13,2025-11-27 13:12,Mustiontie,Lohja,False,,0,0,,,,,,,,,591,0.1872455477714538,3.0,6.350006103515625,0.0,0.0,2.7346954345703125,2,WEAK
14,2026-01-08 23:16,Nesteentie,Raisio,True,57.557,2,2,247.34397071550075,193.52034477630644,76.1181017793049,311.98,1.0,1.0,0.0,during,592,0.10170591622591016,7.0,-10.19000244140625,0.5266067385673523,0.00682834675535555,0.0,8,STRONG
15,2026-01-09 01:21,Valtatie,Paimio,True,,0,0,,,,,,,,,491,0.1044520139694213,7.0,-8.3699951171875,0.4248347878456116,0.0047825118526816,0.0,2,WEAK
16,2026-01-09 01:41,Meriniityntie,Salo,True,,0,0,,,,,,,,,7,0.1294986456632614,7.0,-7.04998779296875,0.2845959961414337,0.000489717000164,0.0,2,WEAK
17,2026-01-09 01:44,Joensuunkatu,Salon suuralue,True,59.461,21,3,108.56319731619388,55.047061732560685,17.26151259321326,312.75,0.0,5.0,16.0,after,0,,,,,,,5,MODERATE
18,2026-01-09 14:27,Valtatie,Halikko,False,,0,0,,,,,,,,,594,0.1023149937391281,7.0,-6.730010986328125,0.5254954993724823,0.0002834183251252,0.0,2,WEAK
19,2026-01-09 14:32,Valtatie,Paimio,False,69.098,2,1,152.16491193779092,128.42980217344103,33.56651413315769,315.675,0.0,0.0,2.0,after,613,0.1017971932888031,7.0,-6.589996337890625,0.6048891544342041,0.0004141140379942,0.0,4,MODERATE
20,2026-01-09 14:33,Iso-Iivarintie,Paimio,False,25.858,2,1,152.16491193779092,128.42980217344103,33.56651413315769,315.675,0.0,2.0,0.0,during,526,0.1091402135789394,7.0,-6.470001220703125,0.5846981704235077,0.0005194775876588499,0.0,6,MODERATE
21,2026-01-09 20:29,Järvenkyläntie,Salo,True,,0,0,,,,,,,,,598,0.11313106492161751,7.0,-5.42999267578125,0.3476744145154953,0.00373847910668695,0.0,2,WEAK
